id,station_id,longitude,latitude,pm25,proj_x,proj_y,dem,aod,t2m,tp,dwi,r,wind,dwi_scaled,aod_scaled,t2m_scaled,r_scaled,tp_scaled,wind_scaled,dem_scaled,pm25_scaled
725,1903A,104.4053,31.1167,39.9953327,443295.1126,3442687.426,498,757.3359985,291.1740112,7.46E-05,160.7409973,65.37470245,0.158539996,0.233107637,1.197403677,0.649423342,0.254816385,-0.417620146,-0.652425073,0.152869053,-0.074769404
611,1774A,126.4978,43.8228,40.76664237,2229556.907,5082413.222,196,336.4389954,278.3590088,8.37E-05,126.8119965,62.56629944,2.022809982,-0.529860834,-1.042107221,-1.761325418,0.026309217,-0.224206472,0.25163193,-0.307776067,-0.018226518
80,1093A,111.608,40.8144,46.69778045,1057479.358,4539216.4,1053,386.7619934,279.2120056,6.93E-05,91.5727005,42.71110153,0.162489995,-1.322294186,-0.77434836,-1.600860291,-1.589219265,-0.53026767,-0.650509565,0.999418861,0.416571168
20,1027A,117.157,38.9194,59.44330407,1555532.069,4378775.331,2,798.84198,286.4110107,5.11E-05,95.5707016,47.00680161,1.322379947,-1.232390307,1.418248913,-0.246588784,-1.239697399,-0.917095017,-0.088033828,-0.603687171,1.350915319
288,1335A,113.0833,28.2325,47.04430414,1294521.895,3149584.545,60,655.3740234,291.7730103,0.000167016,189.5899963,71.46130371,2.602030039,0.881841056,0.654883885,0.76210661,0.750055855,1.546612609,0.532518257,-0.515218902,0.441973999
1433,3054A,113.5922,35.28385,57.42883659,1282312.665,3938554.749,77,865.1920166,288.447998,3.84E-05,100.8430023,51.30559921,0.109797001,-1.113830988,1.771284523,0.136607758,-0.889923501,-1.187023991,-0.676062446,-0.489288548,1.203239479
65,1077A,114.4821,37.0967,70.00875258,1343657.643,4147927.997,72,703.4970093,287.6130066,4.00E-05,97.32150269,47.48939896,0.0499686,-1.19301968,0.910936912,-0.020470205,-1.200430615,-1.153017191,-0.705075564,-0.496915123,2.125443327
182,1207A,119.9219,32.4611,49.42099705,1909065.109,3691413.691,4,786.697998,288.9949951,0.000118618,130.8009949,67.93710327,3.480870008,-0.440159401,1.353633152,0.239508448,0.463307458,0.517949424,0.958701929,-0.600636541,0.616203727
881,2197A,113.1306,40.9923,23.08574421,1184194.4,4569861.7,1360,307.7900085,277.7149963,4.30E-05,95.76869965,47.32709885,3.612750053,-1.227937883,-1.194542895,-1.882476572,-1.213636248,-1.089254441,1.022655691,1.467690556,-1.314371289
1446,3128A,92.0506,31.4797,24.0286614,-734770.0079,3556410.176,4525,120.6930008,273.0469971,0.0001,144.8730011,53.26900101,0.000325801,-0.123719281,-2.190049598,-2.760617124,-0.730170295,0.122237801,-0.729149288,6.295312429,-1.245248263
431,1493A,87.5525,43.8711,59.7557348,-902452.2419,5007928.909,769,591.947998,282.2000122,2.31E-05,99.87490082,46.40119934,0.29260999,-1.135600887,0.317406369,-1.038758703,-1.288972542,-1.512214013,-0.58740932,0.56622941,1.373818876
294,1341A,113.0014,28.1944,48.77677454,1286724.614,3144800.899,41,676.6209717,291.7709961,0.000168626,189.9600067,71.64440155,2.958729982,0.890161557,0.767934755,0.7617277,0.764953706,1.580831951,0.705495929,-0.544199887,0.568977301
341,1391A,113.7383333,22.96583333,35.24240185,1398180.234,2566604.216,30,582.6010132,296.2860107,0.000139975,230.2369995,73.69200134,0.112921,1.79587864,0.267672885,1.611088902,0.931557726,0.971876438,-0.674547498,-0.560978351,-0.423195508
1038,2366A,114.8905,25.8471,39.59769273,1494172.686,2896409.378,118,498.6929932,292.9949951,0.000197346,216.322998,75.47389984,1.144080043,1.482991605,-0.178785331,0.991985485,1.076542822,2.191254007,-0.174498384,-0.426750634,-0.103919448
232,1270A,117.196,31.7848,44.10664678,1658552.306,3582143.631,35,663.0960083,289.6260071,0.000120452,155.8110046,65.96209717,1.497460008,0.12224587,0.695971062,0.358213958,0.302610061,0.556929719,-0.003130699,-0.553351777,0.226621295
1277,2630A,80.1161,32.5,13.52954337,-1867996.785,3883268.551,4288,141,276.5910034,3.19E-05,136.5379944,26.15019989,16.22820091,-0.311150304,-2.082000015,-2.093921284,-2.936705621,-1.325176615,7.140378326,5.933812782,-2.014913741
378,1433A,104.079,30.5706,51.24496614,411682.3999,3382376.247,479,842.9039917,290.6830139,0.000123976,167.0690002,69.14440155,3.08288002,0.37540675,1.652694287,0.557057294,0.561539909,0.631829695,0.765701109,0.123888069,0.749914582
416,1474A,109.043,34.3274,59.02022183,872036.9744,3805867.856,390,664.3740234,289.2260132,3.76E-05,119.8320007,52.52299881,0.0133992,-0.686821446,0.702771131,0.282967401,-0.790869151,-1.20402739,-0.722809488,-0.011864963,1.319900162
400,1458A,91.0874,29.6475,11.08033674,-853344.0919,3362033.347,3671,288.75,279.1059875,0.000174097,165.0140076,41.23519897,0.000355336,0.329195705,-1.295851069,-1.620804338,-1.709306843,1.697113952,-0.729134965,4.992693446,-2.194459278
1279,2632A,94.3681,29.6376,8.037499289,-532162.9869,3326334.463,3001,141.6869965,274.1080017,0.000132352,165.0910034,73.38279724,0.144747004,0.330927126,-2.07834464,-2.561021725,0.906399174,0.809855292,-0.659113831,3.970732418,-2.417522485
749,1928A,109.4824,36.5767,38.75576419,901145.7001,4057277.475,1075,238.4450073,283.5580139,4.07E-05,93.93260193,48.15650177,0.029936099,-1.269226593,-1.563514128,-0.783292429,-1.146151449,-1.138139216,-0.714790103,1.03297579,-0.165639235
610,1773A,126.5844,43.8358,32.54557311,2236127.935,5085762.436,198,315.7330017,278.2879944,8.59E-05,126.8889999,62.97809982,1.662590027,-0.528129243,-1.152279777,-1.774684594,0.059815569,-0.177447122,0.076947268,-0.304725437,-0.620893636
613,1776A,126.55,43.8256,36.34292092,2233671.248,5083871.472,196,339.348999,278.3070068,8.66E-05,126.8199997,63.01839828,1.828320026,-0.529680865,-1.02662366,-1.771107995,0.063094474,-0.162569148,0.157316188,-0.307776067,-0.342519061
899,2217A,123.8831,42.2953,43.63345597,2058873.843,4858797.226,79,319.3469849,281.2839966,6.75E-05,116.8949966,48.49520111,0.689005971,-0.752866466,-1.133050477,-1.211078879,-1.118593001,-0.56852532,-0.395181496,-0.486237918,0.191932797
