,bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,UTM_X,UTM_Y,y
0,3,2660,4600,8,3,0,0,109,552217.557,5274944.781,6.09131516
1,2.25,2530,8736,7,4,0,0,57,565692.4843,5272758.059,5.790988475
2,2,1390,13464,7,4,0,0,28,562451.6615,5245291.268,5.315130317
3,1,940,4264,7,5,0,0,66,546816.9356,5264406.872,5.619093331
4,2.25,2070,7225,8,3,0,0,36,564343.1954,5244978.22,5.477121255
5,1.5,1440,12040,7,4,0,0,56,563417.2999,5246790.95,5.403977964
6,4,2290,6250,7,5,0,0,75,546320.3563,5270071.243,5.820368312
7,2,2410,4680,9,3,0,0,41,566646.0848,5274825.186,5.672097858
8,1,1200,9488,7,5,0,0,74,552811.4417,5259100.781,5.364550995
9,1.5,1170,9848,7,3,0,0,52,557403.1905,5290043.244,5.397940009
10,1,740,8853,6,3,0,0,72,550027.6752,5258642.879,5.36267093
11,1.75,1520,7875,8,5,0,0,46,561990.9972,5267382.37,5.720159303
12,3,2640,5096,10,3,0,0,6,553438.5696,5281080.089,5.959041392
13,2.25,2090,7500,7,4,0,0,38,562483.4496,5249403.983,5.459392488
14,2.5,2160,3000,7,3,0,0,106,553482.2122,5268131.854,5.578352642
15,1,800,6500,6,4,0,0,62,548109.9787,5290058.736,5.469822016
16,1,970,7854,7,4,0,0,35,561392.0393,5259929.138,5.419129308
17,1.5,1440,9711,7,3,0,0,59,556077.7128,5287607.195,5.653212514
18,3.5,3070,7050,8,3,0,3,87,554311.4825,5284055.848,5.929418926
19,2.25,2600,9900,7,3,0,0,50,557476.9855,5259689.33,5.431363764
20,2.5,2170,3200,7,5,0,0,92,549035.3005,5278084.795,5.731588765
21,4.25,5540,15408,11,3,0,1,9,559226.019,5272933.319,6.410777233
22,2.25,1840,7326,7,5,0,0,36,562784.4687,5249484.995,5.505136406
23,2,1820,8400,7,5,0,0,59,550283.7398,5290010.488,5.578581911
24,1.75,1390,5025,8,4,0,0,87,553449.5981,5279879.791,5.836640542
25,1.75,1890,8000,7,4,0,0,55,549987.7229,5289574.449,5.574031268
26,2.25,1940,8270,7,5,0,0,53,549988.585,5289474.422,5.72427587
27,2.25,1710,7000,7,4,0,0,43,558724.5837,5285365.894,5.653212514
28,3.5,1460,1021,8,3,0,0,9,551925.8382,5273952.97,5.755874856
29,1,860,8636,6,3,0,0,91,548494.3006,5261830.901,5.230448921
30,1.75,1730,11986,6,5,0,3,97,551122.9692,5245337.486,5.531478917
31,4.5,3720,7746,10,3,0,0,1,562608.5904,5286884.792,5.982271233
32,2.5,2000,2500,8,3,0,1,21,545421.1284,5269664.056,5.773054693
33,1,1080,4930,6,3,0,0,65,547127.4124,5263242.362,5.423245874
34,1.75,1280,8500,7,3,0,0,62,560823.5725,5278307.185,5.774516966
35,1.75,3020,10714,8,5,0,0,57,561611.206,5267722.912,5.793790385
36,1,1050,9083,7,3,0,0,64,551940.5402,5289113.666,5.511883361
37,2.5,1230,987,7,3,0,0,4,552242.5509,5272155.228,5.579783597
38,2.5,2650,9301,9,3,0,0,14,555061.9534,5244061.565,5.632457292
39,1,1380,5400,7,4,0,0,61,553405.3705,5284692.112,5.579783597
40,1.5,2010,7755,7,3,0,0,63,557771.0662,5260425.787,5.338456494
41,1.75,1640,8529,7,5,0,0,64,550944.9002,5291527.887,5.643452676
42,2.5,2760,5564,7,3,0,0,14,561100.587,5258981.339,5.628337834
43,1,1180,7573,7,4,0,0,38,552931.2095,5287333.117,5.550228353
44,3,1630,7626,7,5,0,0,25,551901.85,5285056.388,5.683497318
45,2.25,2950,15207,10,4,0,0,49,558981.5179,5267373.434,5.996511672
46,5,3028,18055,7,3,0,0,10,560631.2683,5246050.231,5.681241237
47,1.75,1420,8250,7,4,0,0,55,565158.5213,5273452.319,5.662757832
48,2,2880,12000,8,3,0,0,94,553008.9817,5270539.407,5.892094603
49,2.25,2510,10418,8,3,0,0,47,553643.8323,5283238.26,5.916453949
50,1.75,1610,7350,8,3,0,0,41,565508.8992,5255572.282,5.496237545
51,1.75,2960,11347,8,4,0,0,69,548751.9381,5258020.836,5.671172843
52,3,3050,6179,9,4,0,0,89,553795.8595,5274903.566,6.16879202
53,2.25,1940,6500,8,3,0,0,36,564265.9757,5245132.98,5.340444115
54,1,1440,8287,7,4,0,0,87,551350.2848,5288052.497,5.568201724
55,1,880,6900,6,3,0,0,72,560939.6132,5259968.87,5.278753601
