,x1,x2,coord1,coord2,y
0,-0.7214,0.924,-1.6974,-1.6974,23.8804
1,-0.6518,0.943,-1.6974,-1.628,23.107
2,-0.5696,0.962,-1.6974,-1.5588,22.388
3,-0.5,0.9682,-1.6974,-1.4894,24.6502
4,-0.405,0.9746,-1.6974,-1.4202,24.4768
5,-0.3606,0.9872,-1.6974,-1.3508,24.031
6,-0.2974,0.9936,-1.6974,-1.2816,26.1086
7,-0.2404,0.981,-1.6974,-1.2124,26.4712
8,-0.215,0.9682,-1.6974,-1.143,25.324
9,-0.215,0.962,-1.6974,-1.0738,27.0574
10,-0.253,0.962,-1.6974,-1.0044,25.556
11,-0.3164,0.981,-1.6974,-0.9352,27.596
12,-0.3796,1.0,-1.6974,-0.866,25.414
13,-0.4176,1.0062,-1.6974,-0.7966,25.9838
14,-0.481,1.0188,-1.6974,-0.7274,27.1322
15,-0.5568,1.0316,-1.6974,-0.658,26.1154
16,-0.6202,1.0316,-1.6974,-0.5888,27.3904
17,-0.6518,1.0316,-1.6974,-0.5196,27.115
18,-0.6772,1.0442,-1.6974,-0.4502,26.1636
19,-0.7278,1.0316,-1.6974,-0.381,27.0974
20,-0.791,1.0188,-1.6974,-0.3116,25.7968
21,-0.8416,1.0316,-1.6974,-0.2424,24.373
22,-0.8796,1.0632,-1.6974,-0.1732,22.7216
23,-0.8924,1.1012,-1.6974,-0.1038,24.3454
24,-0.8924,1.1392,-1.6974,-0.0346,24.9728
25,-0.867,1.1898,-1.6974,0.0346,25.3602
26,-0.848,1.234,-1.6974,0.1038,25.86
27,-0.867,1.2658,-1.6974,0.1732,24.3444
28,-0.8796,1.291,-1.6974,0.2424,26.7696
29,-0.8606,1.3036,-1.6974,0.3116,25.2048
30,-0.867,1.291,-1.6974,0.381,25.5602
31,-0.848,1.234,-1.6974,0.4502,27.0298
32,-0.8354,1.1898,-1.6974,0.5196,25.3608
33,-0.8416,1.1518,-1.6974,0.5888,23.9714
34,-0.8606,1.1074,-1.6974,0.658,23.4238
35,-0.905,1.0568,-1.6974,0.7274,23.38
36,-0.9366,1.0188,-1.6974,0.7966,22.9456
37,-0.9872,0.9746,-1.6974,0.866,20.9064
38,-1.0252,0.943,-1.6974,0.9352,20.689
39,-1.0568,0.9176,-1.6974,1.0044,21.9642
40,-1.1012,0.8924,-1.6974,1.0738,19.437
41,-1.1392,0.867,-1.6974,1.143,18.577
42,-1.1834,0.867,-1.6974,1.2124,16.2906
43,-1.215,0.848,-1.6974,1.2816,15.4318
44,-1.2658,0.8416,-1.6974,1.3508,16.7248
45,-1.3354,0.8354,-1.6974,1.4202,16.0206
46,-1.3734,0.8036,-1.6974,1.4894,17.7332
47,-1.3986,0.7468,-1.6974,1.5588,13.5548
48,-1.3734,0.7088,-1.6974,1.628,12.2128
49,-1.329,0.6834,-1.6974,1.6974,10.1682
50,-0.734,0.9112,-1.628,-1.6974,23.5356
51,-0.6708,0.9302,-1.628,-1.628,24.086
52,-0.6012,0.943,-1.628,-1.5588,24.8952
53,-0.5506,0.9556,-1.628,-1.4894,23.9718
54,-0.462,0.9746,-1.628,-1.4202,24.913
55,-0.3924,0.9936,-1.628,-1.3508,24.3954
56,-0.329,1.0,-1.628,-1.2816,25.6706
57,-0.2658,1.0,-1.628,-1.2124,27.2428
58,-0.2404,1.0062,-1.628,-1.143,27.1814
59,-0.2468,1.0,-1.628,-1.0738,27.1212
60,-0.2784,1.0126,-1.628,-1.0044,27.6908
61,-0.3416,1.0568,-1.628,-0.9352,27.1874
62,-0.386,1.0696,-1.628,-0.866,25.8082
63,-0.443,1.0948,-1.628,-0.7966,25.1984
