,x1,x2,coord1,coord2,y
0,-0.0846,0.5602,-1.6974,-1.6974,16.1012
1,-0.4688,0.3558,-1.6974,-1.628,15.8684
2,0.7954,-0.9794,-1.6974,-1.5588,15.3288
3,-1.0596,0.5474,-1.6974,-1.4894,16.3298
4,0.1692,0.0826,-1.6974,-1.4202,17.3508
5,0.2822,-1.2564,-1.6974,-1.3508,13.1472
6,-0.4434,0.2136,-1.6974,-1.2816,13.4182
7,-1.134,-0.7632,-1.6974,-1.2124,11.7494
8,1.221,-0.549,-1.6974,-1.143,14.7654
9,0.4026,1.0256,-1.6974,-1.0738,19.9806
10,1.4968,0.0896,-1.6974,-1.0044,20.479
11,0.2736,0.8558,-1.6974,-0.9352,19.7314
12,-0.5216,0.7288,-1.6974,-0.866,19.2254
13,0.31,0.6196,-1.6974,-0.7966,21.8262
14,0.1156,1.4874,-1.6974,-0.7274,24.7542
15,-0.5294,0.452,-1.6974,-0.658,21.844
16,1.0226,-0.953,-1.6974,-0.5888,16.75
17,-1.1134,-0.276,-1.6974,-0.5196,14.8962
18,-1.4128,-0.8518,-1.6974,-0.4502,14.8258
19,-0.2934,0.2692,-1.6974,-0.381,15.5344
20,0.8074,-0.8392,-1.6974,-0.3116,13.1114
21,-0.295,-0.1794,-1.6974,-0.2424,12.6644
22,-0.666,0.3492,-1.6974,-0.1732,10.7144
23,0.4744,-1.2074,-1.6974,-0.1038,8.8078
24,-0.7576,0.4426,-1.6974,-0.0346,10.3616
25,-0.5882,0.0828,-1.6974,0.0346,10.4284
26,-0.9338,1.1994,-1.6974,0.1038,11.5868
27,-1.29,-1.0578,-1.6974,0.1732,13.1376
28,1.3552,0.8794,-1.6974,0.2424,16.774
29,-1.24,0.1952,-1.6974,0.3116,17.6954
30,-1.0514,0.194,-1.6974,0.381,14.3796
31,0.6458,-0.2384,-1.6974,0.4502,13.775
32,-0.5254,-1.3782,-1.6974,0.5196,10.2282
33,0.6896,-0.1096,-1.6974,0.5888,13.279
34,1.37,-0.4422,-1.6974,0.658,13.2828
35,0.6112,0.7886,-1.6974,0.7274,15.4468
36,-1.4846,1.0156,-1.6974,0.7966,14.7692
37,1.0486,-0.901,-1.6974,0.866,12.9562
38,-0.8936,0.9114,-1.6974,0.9352,16.764
39,-0.3956,-0.3934,-1.6974,1.0044,13.3286
40,-1.2992,1.4652,-1.6974,1.0738,15.074
41,0.8988,-0.0058,-1.6974,1.143,11.589
42,0.7276,-0.6246,-1.6974,1.2124,10.1186
43,-0.947,-0.5092,-1.6974,1.2816,8.4824
44,-0.5884,-0.6796,-1.6974,1.3508,7.1142
45,-1.1174,-1.1794,-1.6974,1.4202,4.9178
46,-0.789,-0.7844,-1.6974,1.4894,6.6402
47,-0.8418,0.3858,-1.6974,1.5588,10.4128
48,1.109,0.9296,-1.6974,1.628,14.0108
49,-0.2462,0.6344,-1.6974,1.6974,13.5816
50,0.479,-0.71,-1.628,-1.6974,16.3442
51,1.0902,0.1884,-1.628,-1.628,18.4574
52,1.0134,-0.3508,-1.628,-1.5588,16.1114
53,-0.2402,-0.6396,-1.628,-1.4894,18.4944
54,1.1576,0.7764,-1.628,-1.4202,20.3858
55,-0.6738,0.5722,-1.628,-1.3508,17.4908
56,-0.285,-0.128,-1.628,-1.2816,15.0744
57,0.4286,-1.0488,-1.628,-1.2124,14.0448
58,1.0338,0.1458,-1.628,-1.143,17.699
59,0.4378,0.2842,-1.628,-1.0738,16.6984
60,0.1658,0.2538,-1.628,-1.0044,18.2886
61,1.2258,0.8046,-1.628,-0.9352,17.8984
62,0.3702,-0.5596,-1.628,-0.866,15.5488
63,-1.002,0.7078,-1.628,-0.7966,18.8564
64,0.4994,0.2186,-1.628,-0.7274,21.7004
65,1.3966,1.1352,-1.628,-0.658,22.9216
66,-0.9498,-0.8422,-1.628,-0.5888,16.5538
67,-0.4722,1.1746,-1.628,-0.5196,17.418
68,1.3006,-0.0186,-1.628,-0.4502,17.3028
69,-0.3952,1.0348,-1.628,-0.381,17.8702
70,0.371,1.0428,-1.628,-0.3116,17.4014
71,-1.4386,-0.4612,-1.628,-0.2424,12.9554
72,-0.6084,-0.8832,-1.628,-0.1732,11.4726
73,0.4188,1.0796,-1.628,-0.1038,13.2466
74,0.1562,0.4982,-1.628,-0.0346,10.9768
75,0.53,-1.0256,-1.628,0.0346,9.6712
76,0.3606,-0.2962,-1.628,0.1038,11.2976
77,0.058,-1.3066,-1.628,0.1732,11.24
78,0.665,0.9918,-1.628,0.2424,18.7624
79,-0.277,1.0464,-1.628,0.3116,18.5892
80,0.5082,-0.01,-1.628,0.381,17.0116
81,-1.161,0.3426,-1.628,0.4502,14.2256
82,0.856,0.2744,-1.628,0.5196,14.7992
83,0.1052,-0.0672,-1.628,0.5888,11.964
84,-0.464,-0.0822,-1.628,0.658,11.553
85,0.9228,-1.461,-1.628,0.7274,12.4506
86,0.0716,-0.4462,-1.628,0.7966,12.8374
87,0.6882,-0.7518,-1.628,0.866,12.5418
88,1.239,0.6658,-1.628,0.9352,15.7346
89,-0.906,1.4148,-1.628,1.0044,15.0746
90,0.1008,0.246,-1.628,1.0738,13.3714
91,-1.157,-1.2504,-1.628,1.143,7.297
92,-0.506,-0.5374,-1.628,1.2124,8.7698
93,1.4508,-0.1176,-1.628,1.2816,10.4324
94,1.0546,1.2408,-1.628,1.3508,12.4424
95,-0.5104,0.6422,-1.628,1.4202,9.045
96,-0.6942,-0.3224,-1.628,1.4894,7.6936
97,1.1214,-0.8898,-1.628,1.5588,8.7838
98,-0.1392,-0.146,-1.628,1.628,11.4648
99,-1.3048,-1.0244,-1.628,1.6974,8.1662
100,-0.9034,1.3882,-1.5588,-1.6974,20.614
101,-1.3502,1.0786,-1.5588,-1.628,17.1546
102,0.9964,0.0698,-1.5588,-1.5588,16.993
103,-1.126,0.5532,-1.5588,-1.4894,16.0136
104,1.0486,1.2846,-1.5588,-1.4202,20.9664
105,1.4766,-0.051,-1.5588,-1.3508,19.0686
106,-0.9126,1.1378,-1.5588,-1.2816,15.2582
107,0.0294,0.0782,-1.5588,-1.2124,12.985
108,0.0442,-0.7786,-1.5588,-1.143,10.9126
109,0.3138,-1.126,-1.5588,-1.0738,12.2998
110,0.2018,-0.7078,-1.5588,-1.0044,13.3248
111,-0.9564,0.0138,-1.5588,-0.9352,12.6258
112,-0.9256,-1.462,-1.5588,-0.866,11.5112
113,-0.2176,-0.9554,-1.5588,-0.7966,13.9728
114,0.4458,0.6502,-1.5588,-0.7274,19.7758
115,0.022,1.0794,-1.5588,-0.658,21.4084
116,0.7598,-0.8624,-1.5588,-0.5888,18.5236
117,0.3492,-0.4594,-1.5588,-0.5196,18.4012
118,0.5864,-0.2828,-1.5588,-0.4502,18.0996
119,1.4204,0.907,-1.5588,-0.381,19.9174
120,-1.337,1.4024,-1.5588,-0.3116,18.547
121,0.205,1.4764,-1.5588,-0.2424,15.8614
122,-1.1432,0.345,-1.5588,-0.1732,13.7426
123,0.6496,-0.7636,-1.5588,-0.1038,12.0836
124,0.0584,-0.5984,-1.5588,-0.0346,10.1308
125,-1.2684,-1.0926,-1.5588,0.0346,9.3212
126,0.9508,0.5432,-1.5588,0.1038,11.6572
127,-0.1724,-1.276,-1.5588,0.1732,10.1728
128,-1.4122,-0.6308,-1.5588,0.2424,11.0618
129,-1.4856,0.7916,-1.5588,0.3116,18.1682
130,0.194,0.9312,-1.5588,0.381,17.549
131,-0.4458,0.6466,-1.5588,0.4502,15.9346
132,0.2128,0.5104,-1.5588,0.5196,12.316
133,-1.445,-0.6834,-1.5588,0.5888,8.9858
134,-1.1022,-1.1766,-1.5588,0.658,9.831
135,1.4206,0.1822,-1.5588,0.7274,15.0786
136,-0.9828,0.318,-1.5588,0.7966,14.277
137,0.1162,-1.3814,-1.5588,0.866,8.9102
138,-0.9524,-1.016,-1.5588,0.9352,8.6604
139,0.052,0.9316,-1.5588,1.0044,12.891
140,0.7546,-1.2748,-1.5588,1.0738,7.6476
141,0.4594,0.7626,-1.5588,1.143,11.4536
142,0.3798,0.4608,-1.5588,1.2124,13.127
143,-1.2068,-1.4874,-1.5588,1.2816,7.2032
144,0.1128,-0.6072,-1.5588,1.3508,9.059
145,-0.147,-0.538,-1.5588,1.4202,7.4406
146,0.0172,-0.9316,-1.5588,1.4894,9.817
147,0.1184,-1.4482,-1.5588,1.5588,6.999
148,0.777,-0.3908,-1.5588,1.628,9.9976
149,-1.062,-1.4786,-1.5588,1.6974,5.7048
150,0.8816,1.2658,-1.4894,-1.6974,20.2422
151,0.2452,0.7092,-1.4894,-1.628,17.136
152,-0.405,0.1206,-1.4894,-1.5588,15.0734
153,-0.0406,0.196,-1.4894,-1.4894,16.7072
154,-0.2276,-0.7328,-1.4894,-1.4202,17.6698
155,0.7398,0.1534,-1.4894,-1.3508,20.4432
156,0.5544,0.68,-1.4894,-1.2816,16.5036
