,x1,x2,coord1,coord2,y
0,-0.7214,0.924,-1.6974,-1.6974,3.6102
1,-0.6518,0.943,-1.6974,-1.628,2.8774
2,-0.5696,0.962,-1.6974,-1.5588,2.452
3,-0.5,0.9682,-1.6974,-1.4894,3.5172
4,-0.405,0.9746,-1.6974,-1.4202,-0.4014
5,-0.3606,0.9872,-1.6974,-1.3508,3.1534
6,-0.2974,0.9936,-1.6974,-1.2816,3.5264
7,-0.2404,0.981,-1.6974,-1.2124,2.91
8,-0.215,0.9682,-1.6974,-1.143,4.5032
9,-0.215,0.962,-1.6974,-1.0738,2.87
10,-0.253,0.962,-1.6974,-1.0044,3.3526
11,-0.3164,0.981,-1.6974,-0.9352,2.99
12,-0.3796,1.0,-1.6974,-0.866,2.6376
13,-0.4176,1.0062,-1.6974,-0.7966,3.0632
14,-0.481,1.0188,-1.6974,-0.7274,3.8848
15,-0.5568,1.0316,-1.6974,-0.658,2.5986
16,-0.6202,1.0316,-1.6974,-0.5888,3.1836
17,-0.6518,1.0316,-1.6974,-0.5196,3.5784
18,-0.6772,1.0442,-1.6974,-0.4502,2.5938
19,-0.7278,1.0316,-1.6974,-0.381,2.915
20,-0.791,1.0188,-1.6974,-0.3116,4.3432
21,-0.8416,1.0316,-1.6974,-0.2424,2.7268
22,-0.8796,1.0632,-1.6974,-0.1732,1.9964
23,-0.8924,1.1012,-1.6974,-0.1038,1.2434
24,-0.8924,1.1392,-1.6974,-0.0346,1.9582
25,-0.867,1.1898,-1.6974,0.0346,2.2204
26,-0.848,1.234,-1.6974,0.1038,2.8628
27,-0.867,1.2658,-1.6974,0.1732,2.971
28,-0.8796,1.291,-1.6974,0.2424,2.596
29,-0.8606,1.3036,-1.6974,0.3116,2.4714
30,-0.867,1.291,-1.6974,0.381,1.8998
31,-0.848,1.234,-1.6974,0.4502,1.7534
32,-0.8354,1.1898,-1.6974,0.5196,3.6676
33,-0.8416,1.1518,-1.6974,0.5888,2.9158
34,-0.8606,1.1074,-1.6974,0.658,3.2414
35,-0.905,1.0568,-1.6974,0.7274,3.3206
36,-0.9366,1.0188,-1.6974,0.7966,1.5574
37,-0.9872,0.9746,-1.6974,0.866,0.948
38,-1.0252,0.943,-1.6974,0.9352,2.0866
39,-1.0568,0.9176,-1.6974,1.0044,0.6262
40,-1.1012,0.8924,-1.6974,1.0738,1.1286
41,-1.1392,0.867,-1.6974,1.143,0.3262
42,-1.1834,0.867,-1.6974,1.2124,2.8462
43,-1.215,0.848,-1.6974,1.2816,2.466
44,-1.2658,0.8416,-1.6974,1.3508,2.2948
45,-1.3354,0.8354,-1.6974,1.4202,-0.3048
46,-1.3734,0.8036,-1.6974,1.4894,0.2804
47,-1.3986,0.7468,-1.6974,1.5588,-1.64
48,-1.3734,0.7088,-1.6974,1.628,-0.0888
49,-1.329,0.6834,-1.6974,1.6974,1.412
50,-0.734,0.9112,-1.628,-1.6974,5.0862
51,-0.6708,0.9302,-1.628,-1.628,3.6888
52,-0.6012,0.943,-1.628,-1.5588,1.4234
53,-0.5506,0.9556,-1.628,-1.4894,1.3594
54,-0.462,0.9746,-1.628,-1.4202,3.4466
55,-0.3924,0.9936,-1.628,-1.3508,2.7548
56,-0.329,1.0,-1.628,-1.2816,3.0846
57,-0.2658,1.0,-1.628,-1.2124,2.343
58,-0.2404,1.0062,-1.628,-1.143,5.1418
59,-0.2468,1.0,-1.628,-1.0738,3.0298
60,-0.2784,1.0126,-1.628,-1.0044,3.4184
61,-0.3416,1.0568,-1.628,-0.9352,3.0714
62,-0.386,1.0696,-1.628,-0.866,2.2796
63,-0.443,1.0948,-1.628,-0.7966,2.6188
64,-0.5126,1.0886,-1.628,-0.7274,1.745
65,-0.5758,1.1012,-1.628,-0.658,3.0108
66,-0.6264,1.1012,-1.628,-0.5888,3.5744
67,-0.6644,1.1138,-1.628,-0.5196,3.4542
68,-0.6962,1.1138,-1.628,-0.4502,1.7394
69,-0.7468,1.1074,-1.628,-0.381,2.8404
