,x1,x2,coord1,coord2,y
0,-1.2846,1.1698,-1.6974,-1.6974,2.6392
1,-1.019,-0.5972,-1.6974,-1.628,0.839
2,-1.3198,0.4752,-1.6974,-1.5588,1.0826
3,-0.2402,-0.7732,-1.6974,-1.4894,0.0904
4,0.9256,-1.0708,-1.6974,-1.4202,3.8002
5,-0.906,0.4436,-1.6974,-1.3508,2.9486
6,-0.5098,0.2828,-1.6974,-1.2816,2.2626
7,-1.0374,0.8176,-1.6974,-1.2124,3.6818
8,0.1636,-0.6664,-1.6974,-1.143,0.2372
9,-0.0364,0.3682,-1.6974,-1.0738,4.5508
10,-0.3798,1.4018,-1.6974,-1.0044,2.74
11,1.3688,-0.2134,-1.6974,-0.9352,5.0246
12,-1.312,-0.29,-1.6974,-0.866,0.903
13,-1.0342,-0.4406,-1.6974,-0.7966,2.1792
14,-0.2798,0.6614,-1.6974,-0.7274,3.1226
15,-0.5214,1.2222,-1.6974,-0.658,3.5038
16,0.9328,-0.6612,-1.6974,-0.5888,0.9576
17,0.1262,-0.4408,-1.6974,-0.5196,2.799
18,-1.0294,1.2996,-1.6974,-0.4502,2.2654
19,-0.763,-0.5004,-1.6974,-0.381,1.9488
20,-1.0902,0.3388,-1.6974,-0.3116,1.3962
21,-0.0898,0.8474,-1.6974,-0.2424,4.683
22,1.1854,-0.1688,-1.6974,-0.1732,5.4294
23,0.663,0.4082,-1.6974,-0.1038,4.6064
24,0.4682,-0.4724,-1.6974,-0.0346,3.3744
25,-0.149,-0.8428,-1.6974,0.0346,4.0658
26,-0.2324,-1.419,-1.6974,0.1038,0.8372
27,0.7746,-0.4136,-1.6974,0.1732,3.7766
28,0.2422,-0.8486,-1.6974,0.2424,2.1876
29,0.9896,-0.3108,-1.6974,0.3116,4.415
30,-1.4578,0.8416,-1.6974,0.381,0.5676
31,0.5126,-1.2692,-1.6974,0.4502,1.3046
32,1.2158,-0.4726,-1.6974,0.5196,6.803
33,-0.3808,1.4872,-1.6974,0.5888,5.557
34,0.5772,-1.2564,-1.6974,0.658,3.4498
35,0.246,-0.6186,-1.6974,0.7274,1.857
36,0.595,-0.9412,-1.6974,0.7966,3.013
37,0.136,1.4496,-1.6974,0.866,5.8706
38,1.1502,-0.2236,-1.6974,0.9352,6.6482
39,-0.0926,0.9966,-1.6974,1.0044,3.5698
40,-1.0792,-0.651,-1.6974,1.0738,-0.6244
41,1.187,-0.5808,-1.6974,1.143,5.6988
42,0.9802,-1.3828,-1.6974,1.2124,4.3634
43,-0.012,-0.1354,-1.6974,1.2816,3.7866
44,-1.4524,-0.4574,-1.6974,1.3508,-2.4184
45,1.3936,0.2312,-1.6974,1.4202,7.636
46,-0.196,1.4528,-1.6974,1.4894,3.9702
47,1.408,0.8284,-1.6974,1.5588,7.5182
48,-1.078,0.9082,-1.6974,1.628,0.1038
49,0.17,0.9922,-1.6974,1.6974,5.7856
50,-0.2124,-0.7422,-1.628,-1.6974,2.5108
51,0.5518,0.0118,-1.628,-1.628,4.701
52,0.4556,1.1998,-1.628,-1.5588,5.564
53,0.8826,-0.9938,-1.628,-1.4894,1.6308
54,0.6432,0.0062,-1.628,-1.4202,3.5296
55,1.4254,1.2964,-1.628,-1.3508,5.075
56,-1.208,-1.3056,-1.628,-1.2816,0.497
57,0.3352,1.1862,-1.628,-1.2124,4.6136
58,-0.501,0.475,-1.628,-1.143,2.0624
59,0.152,-1.3096,-1.628,-1.0738,3.1626
60,-0.8736,1.0226,-1.628,-1.0044,2.0686
61,-0.9766,-0.5934,-1.628,-0.9352,0.8156
62,1.3976,-0.562,-1.628,-0.866,3.3974
63,0.621,-0.1278,-1.628,-0.7966,4.6408
64,-0.9,0.6172,-1.628,-0.7274,2.9514
65,1.1608,-0.2376,-1.628,-0.658,3.5388
66,0.9544,1.16,-1.628,-0.5888,5.3744
67,-0.7932,-1.433,-1.628,-0.5196,0.2746
68,1.2408,1.4696,-1.628,-0.4502,5.9684
69,0.7046,-0.1766,-1.628,-0.381,6.0192
70,0.2802,-0.4782,-1.628,-0.3116,2.449
