,x1,x2,coord1,coord2,y
0,-0.7214,0.924,-1.6974,-1.6974,16.6134
1,-0.6518,0.943,-1.6974,-1.628,15.7776
2,-0.5696,0.962,-1.6974,-1.5588,15.2294
3,-0.5,0.9682,-1.6974,-1.4894,15.0818
4,-0.405,0.9746,-1.6974,-1.4202,16.6236
5,-0.3606,0.9872,-1.6974,-1.3508,17.2162
6,-0.2974,0.9936,-1.6974,-1.2816,19.7984
7,-0.2404,0.981,-1.6974,-1.2124,19.016
8,-0.215,0.9682,-1.6974,-1.143,18.4172
9,-0.215,0.962,-1.6974,-1.0738,19.0634
10,-0.253,0.962,-1.6974,-1.0044,20.1148
11,-0.3164,0.981,-1.6974,-0.9352,20.963
12,-0.3796,1.0,-1.6974,-0.866,18.3822
13,-0.4176,1.0062,-1.6974,-0.7966,18.0208
14,-0.481,1.0188,-1.6974,-0.7274,16.5636
15,-0.5568,1.0316,-1.6974,-0.658,17.4126
16,-0.6202,1.0316,-1.6974,-0.5888,17.7664
17,-0.6518,1.0316,-1.6974,-0.5196,16.091
18,-0.6772,1.0442,-1.6974,-0.4502,16.5416
19,-0.7278,1.0316,-1.6974,-0.381,16.9282
20,-0.791,1.0188,-1.6974,-0.3116,17.0564
21,-0.8416,1.0316,-1.6974,-0.2424,14.1866
22,-0.8796,1.0632,-1.6974,-0.1732,15.4684
23,-0.8924,1.1012,-1.6974,-0.1038,16.06
24,-0.8924,1.1392,-1.6974,-0.0346,15.9358
25,-0.867,1.1898,-1.6974,0.0346,15.3648
26,-0.848,1.234,-1.6974,0.1038,14.8414
27,-0.867,1.2658,-1.6974,0.1732,15.3316
28,-0.8796,1.291,-1.6974,0.2424,15.734
29,-0.8606,1.3036,-1.6974,0.3116,14.7112
30,-0.867,1.291,-1.6974,0.381,15.1584
31,-0.848,1.234,-1.6974,0.4502,14.7844
32,-0.8354,1.1898,-1.6974,0.5196,13.8862
33,-0.8416,1.1518,-1.6974,0.5888,13.3858
34,-0.8606,1.1074,-1.6974,0.658,10.6882
35,-0.905,1.0568,-1.6974,0.7274,10.3912
36,-0.9366,1.0188,-1.6974,0.7966,11.8556
37,-0.9872,0.9746,-1.6974,0.866,9.8552
38,-1.0252,0.943,-1.6974,0.9352,7.269
39,-1.0568,0.9176,-1.6974,1.0044,8.1442
40,-1.1012,0.8924,-1.6974,1.0738,6.5872
41,-1.1392,0.867,-1.6974,1.143,6.3728
42,-1.1834,0.867,-1.6974,1.2124,3.7216
43,-1.215,0.848,-1.6974,1.2816,0.8652
44,-1.2658,0.8416,-1.6974,1.3508,-0.3024
45,-1.3354,0.8354,-1.6974,1.4202,1.8684
46,-1.3734,0.8036,-1.6974,1.4894,-0.7486
47,-1.3986,0.7468,-1.6974,1.5588,-0.6224
48,-1.3734,0.7088,-1.6974,1.628,-2.544
49,-1.329,0.6834,-1.6974,1.6974,-0.396
50,-0.734,0.9112,-1.628,-1.6974,15.1022
51,-0.6708,0.9302,-1.628,-1.628,16.1946
52,-0.6012,0.943,-1.628,-1.5588,15.5828
53,-0.5506,0.9556,-1.628,-1.4894,15.4112
54,-0.462,0.9746,-1.628,-1.4202,16.5966
55,-0.3924,0.9936,-1.628,-1.3508,16.4734
56,-0.329,1.0,-1.628,-1.2816,19.989
57,-0.2658,1.0,-1.628,-1.2124,20.6576
58,-0.2404,1.0062,-1.628,-1.143,20.7408
59,-0.2468,1.0,-1.628,-1.0738,21.0204
60,-0.2784,1.0126,-1.628,-1.0044,20.7518
61,-0.3416,1.0568,-1.628,-0.9352,17.7928
62,-0.386,1.0696,-1.628,-0.866,20.2854
63,-0.443,1.0948,-1.628,-0.7966,18.299
64,-0.5126,1.0886,-1.628,-0.7274,18.8444
65,-0.5758,1.1012,-1.628,-0.658,18.1624
66,-0.6264,1.1012,-1.628,-0.5888,18.8684
67,-0.6644,1.1138,-1.628,-0.5196,17.81
68,-0.6962,1.1138,-1.628,-0.4502,17.4576
69,-0.7468,1.1074,-1.628,-0.381,17.042
70,-0.7848,1.0948,-1.628,-0.3116,17.262
71,-0.8164,1.1074,-1.628,-0.2424,16.5998
72,-0.8354,1.1392,-1.628,-0.1732,15.4492
73,-0.829,1.1772,-1.628,-0.1038,15.6428
74,-0.81,1.2278,-1.628,-0.0346,16.5542
75,-0.753,1.272,-1.628,0.0346,15.2556
76,-0.734,1.3226,-1.628,0.1038,15.83
77,-0.7594,1.3416,-1.628,0.1732,16.005
78,-0.7404,1.367,-1.628,0.2424,17.0678
79,-0.734,1.3544,-1.628,0.3116,17.6328
80,-0.734,1.3164,-1.628,0.381,15.5752
81,-0.7468,1.272,-1.628,0.4502,13.9824
82,-0.7468,1.234,-1.628,0.5196,14.0892
83,-0.753,1.1898,-1.628,0.5888,14.1196
84,-0.7784,1.1454,-1.628,0.658,12.5408
85,-0.8416,1.1012,-1.628,0.7274,14.4122
86,-0.905,1.0506,-1.628,0.7966,11.7142
87,-0.9556,1.0,-1.628,0.866,10.8516
88,-1.0062,0.9746,-1.628,0.9352,10.1908
89,-1.0378,0.981,-1.628,1.0044,8.7566
90,-1.0886,0.9746,-1.628,1.0738,7.477
91,-1.1264,0.981,-1.628,1.143,6.4424
92,-1.1644,0.9682,-1.628,1.2124,3.7652
93,-1.2278,0.9556,-1.628,1.2816,2.9114
94,-1.2848,0.9492,-1.628,1.3508,2.1342
95,-1.3416,0.9366,-1.628,1.4202,1.0882
96,-1.405,0.886,-1.628,1.4894,-0.0668
97,-1.4366,0.848,-1.628,1.5588,-2.537
98,-1.4366,0.81,-1.628,1.628,-0.0298
99,-1.3986,0.8036,-1.628,1.6974,-3.2638
100,-0.7658,0.8796,-1.5588,-1.6974,14.886
101,-0.715,0.905,-1.5588,-1.628,17.4866
102,-0.6518,0.9176,-1.5588,-1.5588,15.786
103,-0.5886,0.9366,-1.5588,-1.4894,15.809
104,-0.5062,0.962,-1.5588,-1.4202,16.751
105,-0.4302,0.9872,-1.5588,-1.3508,16.8444
106,-0.3606,0.9936,-1.5588,-1.2816,18.1102
107,-0.2974,0.9936,-1.5588,-1.2124,19.601
108,-0.2594,1.0062,-1.5588,-1.143,22.7728
109,-0.2658,1.0126,-1.5588,-1.0738,19.4904
110,-0.291,1.0316,-1.5588,-1.0044,18.5236
111,-0.3416,1.0632,-1.5588,-0.9352,19.492
112,-0.3924,1.1012,-1.5588,-0.866,19.4494
113,-0.443,1.1202,-1.5588,-0.7966,19.3718
114,-0.4936,1.1392,-1.5588,-0.7274,17.2134
115,-0.5632,1.1518,-1.5588,-0.658,17.956
116,-0.6264,1.1644,-1.5588,-0.5888,17.9904
117,-0.6644,1.1834,-1.5588,-0.5196,17.6924
118,-0.6898,1.1834,-1.5588,-0.4502,20.2636
119,-0.7024,1.1834,-1.5588,-0.381,19.6188
120,-0.7278,1.1962,-1.5588,-0.3116,17.9452
121,-0.7404,1.2024,-1.5588,-0.2424,19.4252
122,-0.7594,1.2088,-1.5588,-0.1732,17.3458
123,-0.7214,1.2404,-1.5588,-0.1038,16.1648
124,-0.6898,1.291,-1.5588,-0.0346,18.6308
125,-0.6392,1.3354,-1.5588,0.0346,17.556
126,-0.6328,1.3734,-1.5588,0.1038,19.2444
127,-0.6454,1.3924,-1.5588,0.1732,19.9496
128,-0.6138,1.3924,-1.5588,0.2424,18.8404
129,-0.6074,1.3734,-1.5588,0.3116,18.026
130,-0.6202,1.3354,-1.5588,0.381,16.7256
131,-0.6454,1.2974,-1.5588,0.4502,17.7578
132,-0.6582,1.2658,-1.5588,0.5196,15.8112
133,-0.6962,1.215,-1.5588,0.5888,16.225
134,-0.7214,1.1708,-1.5588,0.658,14.6094
135,-0.7784,1.1328,-1.5588,0.7274,14.4726
136,-0.8416,1.1012,-1.5588,0.7966,14.6316
137,-0.8986,1.0696,-1.5588,0.866,9.5804
138,-0.9366,1.0696,-1.5588,0.9352,11.9046
139,-0.9682,1.0696,-1.5588,1.0044,9.7984
140,-1.0252,1.0822,-1.5588,1.0738,9.6262
141,-1.0948,1.0822,-1.5588,1.143,7.5338
142,-1.1454,1.0822,-1.5588,1.2124,4.2586
143,-1.1962,1.0758,-1.5588,1.2816,3.4632
144,-1.272,1.0506,-1.5588,1.3508,3.4504
145,-1.348,1.0252,-1.5588,1.4202,-0.1394
146,-1.4112,0.9746,-1.5588,1.4894,-0.6578
147,-1.4302,0.924,-1.5588,1.5588,-3.3504
148,-1.4492,0.9302,-1.5588,1.628,-3.2112
149,-1.462,0.905,-1.5588,1.6974,0.4804
150,-0.8164,0.8354,-1.4894,-1.6974,15.372
151,-0.7468,0.8544,-1.4894,-1.628,14.546
152,-0.6834,0.886,-1.4894,-1.5588,15.9582
153,-0.6012,0.9112,-1.4894,-1.4894,16.5746
154,-0.5252,0.9492,-1.4894,-1.4202,16.0634
155,-0.443,0.9746,-1.4894,-1.3508,18.9416
156,-0.3606,0.981,-1.4894,-1.2816,19.161
157,-0.2974,0.9872,-1.4894,-1.2124,20.5718
158,-0.2594,1.0,-1.4894,-1.143,20.8882
159,-0.253,1.0126,-1.4894,-1.0738,18.302
160,-0.2784,1.0316,-1.4894,-1.0044,19.8414
161,-0.3164,1.0632,-1.4894,-0.9352,21.2832
162,-0.367,1.0948,-1.4894,-0.866,20.7514
163,-0.4176,1.1264,-1.4894,-0.7966,18.6122
164,-0.462,1.1518,-1.4894,-0.7274,19.1712
165,-0.5252,1.1644,-1.4894,-0.658,18.029
166,-0.5822,1.1834,-1.4894,-0.5888,19.1724
167,-0.6202,1.2024,-1.4894,-0.5196,19.8372
168,-0.6264,1.2278,-1.4894,-0.4502,20.7852
169,-0.6328,1.253,-1.4894,-0.381,22.2244
170,-0.6264,1.272,-1.4894,-0.3116,21.3176
171,-0.6392,1.272,-1.4894,-0.2424,22.515
172,-0.6202,1.272,-1.4894,-0.1732,20.4556
173,-0.5886,1.2974,-1.4894,-0.1038,20.8756
174,-0.5632,1.329,-1.4894,-0.0346,20.8454
175,-0.5378,1.3544,-1.4894,0.0346,22.507
176,-0.5252,1.3734,-1.4894,0.1038,21.8328
177,-0.5126,1.386,-1.4894,0.1732,23.5112
178,-0.5062,1.386,-1.4894,0.2424,21.6468
179,-0.4936,1.367,-1.4894,0.3116,20.5296
180,-0.5188,1.329,-1.4894,0.381,21.1634
181,-0.5568,1.2974,-1.4894,0.4502,18.1256
182,-0.5886,1.272,-1.4894,0.5196,19.3934
183,-0.6138,1.2404,-1.4894,0.5888,18.9588
184,-0.6772,1.1962,-1.4894,0.658,17.2876
185,-0.7278,1.1708,-1.4894,0.7274,16.1154
186,-0.7848,1.1582,-1.4894,0.7966,14.6758
187,-0.8226,1.1328,-1.4894,0.866,11.7918
188,-0.8416,1.1264,-1.4894,0.9352,10.5766
189,-0.886,1.1392,-1.4894,1.0044,11.1606
190,-0.9556,1.1582,-1.4894,1.0738,10.153
191,-1.0378,1.1644,-1.4894,1.143,9.4994
192,-1.1074,1.1518,-1.4894,1.2124,6.0
193,-1.1708,1.1328,-1.4894,1.2816,4.6496
194,-1.234,1.1202,-1.4894,1.3508,3.4264
195,-1.3226,1.1012,-1.4894,1.4202,2.7284
196,-1.367,1.0696,-1.4894,1.4894,-0.8104
197,-1.4112,1.0316,-1.4894,1.5588,-0.6192
198,-1.4302,1.0188,-1.4894,1.628,-1.0864
199,-1.4682,1.0,-1.4894,1.6974,1.0374
200,-0.8354,0.7658,-1.4202,-1.6974,16.485
201,-0.7594,0.8036,-1.4202,-1.628,13.9694
202,-0.6644,0.8416,-1.4202,-1.5588,17.9328
203,-0.5758,0.8734,-1.4202,-1.4894,18.645
204,-0.5126,0.905,-1.4202,-1.4202,18.6854
205,-0.462,0.924,-1.4202,-1.3508,18.5748
206,-0.3606,0.9492,-1.4202,-1.2816,19.9106
207,-0.2848,0.9492,-1.4202,-1.2124,21.159
208,-0.253,0.9682,-1.4202,-1.143,21.3246
209,-0.253,0.9872,-1.4202,-1.0738,21.831
210,-0.253,1.0126,-1.4202,-1.0044,19.9262
211,-0.2784,1.0568,-1.4202,-0.9352,22.0974
212,-0.3354,1.0822,-1.4202,-0.866,22.278
213,-0.3986,1.1202,-1.4202,-0.7966,22.6836
214,-0.4366,1.1454,-1.4202,-0.7274,22.001
215,-0.481,1.1582,-1.4202,-0.658,20.131
216,-0.5252,1.1772,-1.4202,-0.5888,21.2238
217,-0.5442,1.2088,-1.4202,-0.5196,21.9636
218,-0.5568,1.2468,-1.4202,-0.4502,23.3716
219,-0.5568,1.272,-1.4202,-0.381,22.9836
220,-0.5378,1.2974,-1.4202,-0.3116,25.8984
221,-0.5442,1.3036,-1.4202,-0.2424,23.8966
222,-0.5,1.3226,-1.4202,-0.1732,24.2774
223,-0.462,1.348,-1.4202,-0.1038,22.3306
224,-0.4492,1.367,-1.4202,-0.0346,24.9544
225,-0.4366,1.3734,-1.4202,0.0346,24.8086
226,-0.4112,1.3734,-1.4202,0.1038,26.3482
227,-0.3796,1.3796,-1.4202,0.1732,27.4804
228,-0.348,1.3734,-1.4202,0.2424,24.868
229,-0.348,1.348,-1.4202,0.3116,24.2546
230,-0.386,1.3164,-1.4202,0.381,22.6042
231,-0.405,1.2848,-1.4202,0.4502,22.4226
232,-0.4492,1.2784,-1.4202,0.5196,22.2658
233,-0.5126,1.2594,-1.4202,0.5888,20.8502
234,-0.5758,1.234,-1.4202,0.658,19.7616
235,-0.6644,1.2214,-1.4202,0.7274,17.8324
236,-0.6962,1.2024,-1.4202,0.7966,15.022
237,-0.753,1.1898,-1.4202,0.866,14.7166
238,-0.7848,1.1962,-1.4202,0.9352,13.34
239,-0.829,1.2214,-1.4202,1.0044,11.764
240,-0.905,1.2278,-1.4202,1.0738,10.8306
241,-1.0,1.2404,-1.4202,1.143,10.0098
242,-1.0758,1.234,-1.4202,1.2124,7.8172
243,-1.1392,1.2088,-1.4202,1.2816,5.4624
244,-1.2088,1.1834,-1.4202,1.3508,4.6002
245,-1.2784,1.1518,-1.4202,1.4202,1.7868
246,-1.329,1.1582,-1.4202,1.4894,1.0882
247,-1.3606,1.1392,-1.4202,1.5588,-0.062
248,-1.405,1.1138,-1.4202,1.628,0.9482
249,-1.4492,1.0758,-1.4202,1.6974,0.4188
250,-0.8164,0.715,-1.3508,-1.6974,14.9728
251,-0.734,0.7468,-1.3508,-1.628,15.4776
252,-0.6392,0.7974,-1.3508,-1.5588,16.9128
253,-0.5632,0.8226,-1.3508,-1.4894,18.595
254,-0.5062,0.8354,-1.3508,-1.4202,17.7524
255,-0.4492,0.8606,-1.3508,-1.3508,19.4676
256,-0.3606,0.8796,-1.3508,-1.2816,19.2146
257,-0.272,0.8924,-1.3508,-1.2124,19.7548
258,-0.2214,0.9112,-1.3508,-1.143,21.9146
259,-0.2088,0.943,-1.3508,-1.0738,22.7382
260,-0.2278,0.9872,-1.3508,-1.0044,21.3998
261,-0.2468,1.0316,-1.3508,-0.9352,21.8286
262,-0.291,1.0696,-1.3508,-0.866,23.0202
263,-0.3416,1.1012,-1.3508,-0.7966,22.6906
264,-0.3796,1.1202,-1.3508,-0.7274,21.801
265,-0.405,1.1454,-1.3508,-0.658,23.597
266,-0.4366,1.1708,-1.3508,-0.5888,24.5506
267,-0.462,1.2088,-1.3508,-0.5196,23.9114
268,-0.462,1.2468,-1.3508,-0.4502,24.3412
269,-0.424,1.2784,-1.3508,-0.381,27.346
270,-0.4112,1.2974,-1.3508,-0.3116,29.1004
271,-0.386,1.329,-1.3508,-0.2424,27.378
272,-0.3606,1.3544,-1.3508,-0.1732,28.1106
273,-0.3226,1.386,-1.3508,-0.1038,29.185
274,-0.31,1.3986,-1.3508,-0.0346,28.0368
