,x1,x2,coord1,coord2,y
0,-0.444,0.8772,-1.6974,-1.6974,15.3416
1,0.8732,0.7754,-1.6974,-1.628,15.6686
2,1.4806,1.2876,-1.6974,-1.5588,18.147
3,0.6086,-1.1458,-1.6974,-1.4894,13.5828
4,-1.1518,-0.2682,-1.6974,-1.4202,12.2596
5,-1.3818,0.547,-1.6974,-1.3508,12.0474
6,0.6144,-0.9662,-1.6974,-1.2816,13.7088
7,1.0536,1.3618,-1.6974,-1.2124,16.5486
8,0.3326,-0.4532,-1.6974,-1.143,15.4892
9,1.0894,-1.2282,-1.6974,-1.0738,16.9388
10,0.9258,1.2944,-1.6974,-1.0044,19.6936
11,-0.4352,1.3872,-1.6974,-0.9352,15.7672
12,0.3636,0.7846,-1.6974,-0.866,15.5856
13,-0.4368,-0.7106,-1.6974,-0.7966,13.9924
14,0.8864,0.1826,-1.6974,-0.7274,15.7664
15,1.0306,-0.7142,-1.6974,-0.658,16.4458
16,1.4856,0.036,-1.6974,-0.5888,16.1768
17,0.787,-1.0986,-1.6974,-0.5196,16.2284
18,0.1038,-0.8904,-1.6974,-0.4502,16.3252
19,0.2938,-0.6632,-1.6974,-0.381,15.6238
20,1.087,0.9602,-1.6974,-0.3116,19.0084
21,-0.7138,-0.981,-1.6974,-0.2424,14.518
22,1.1412,1.0144,-1.6974,-0.1732,19.137
23,0.1518,0.9088,-1.6974,-0.1038,16.8764
24,1.1484,0.3328,-1.6974,-0.0346,19.6884
25,0.3718,-0.4606,-1.6974,0.0346,18.215
26,-0.3524,-1.2802,-1.6974,0.1038,13.2336
27,-1.4192,0.6426,-1.6974,0.1732,11.5284
28,-0.0958,-1.2616,-1.6974,0.2424,11.9778
29,-0.3734,0.9412,-1.6974,0.3116,12.8878
30,-0.0992,-0.3688,-1.6974,0.381,13.5562
31,-0.3288,-0.4202,-1.6974,0.4502,13.3306
32,-1.2984,-0.2712,-1.6974,0.5196,10.3774
33,-1.4946,1.448,-1.6974,0.5888,12.6732
34,0.2608,1.3588,-1.6974,0.658,17.3976
35,-1.3732,0.0374,-1.6974,0.7274,11.9566
36,0.788,-0.4432,-1.6974,0.7966,14.0272
37,-0.6344,0.7698,-1.6974,0.866,11.4298
38,-1.0346,1.2892,-1.6974,0.9352,11.923
39,0.5388,0.0184,-1.6974,1.0044,14.9678
40,-1.4672,0.7154,-1.6974,1.0738,14.9622
41,0.8458,-0.1412,-1.6974,1.143,18.7042
42,-0.5892,0.0836,-1.6974,1.2124,16.876
43,1.0432,0.6874,-1.6974,1.2816,22.5408
44,-0.17,-0.0676,-1.6974,1.3508,20.612
45,1.3826,0.8812,-1.6974,1.4202,24.2492
46,0.049,-0.0706,-1.6974,1.4894,20.8394
47,0.7878,-0.971,-1.6974,1.5588,16.993
48,-0.1642,-0.5612,-1.6974,1.628,11.9088
49,-0.3598,0.8938,-1.6974,1.6974,10.8114
50,-1.2124,-1.275,-1.628,-1.6974,14.4684
51,-0.8896,-0.3464,-1.628,-1.628,13.4022
52,-0.068,-0.9568,-1.628,-1.5588,13.2656
53,0.8122,-1.3422,-1.628,-1.4894,14.444
54,-1.3224,-0.0766,-1.628,-1.4202,11.6476
55,0.3116,-1.0638,-1.628,-1.3508,13.0968
56,-0.4492,-0.863,-1.628,-1.2816,12.835
57,0.0792,0.0726,-1.628,-1.2124,13.6374
58,-0.019,1.0548,-1.628,-1.143,16.3036
59,1.4752,0.252,-1.628,-1.0738,18.1482
60,-0.0414,0.5708,-1.628,-1.0044,17.8112
61,-0.6304,0.1384,-1.628,-0.9352,13.8922
