,x1,x2,coord1,coord2,y
0,-0.7214,0.924,-1.6974,-1.6974,5.1244
1,-0.6518,0.943,-1.6974,-1.628,5.34
2,-0.5696,0.962,-1.6974,-1.5588,4.8686
3,-0.5,0.9682,-1.6974,-1.4894,6.2316
4,-0.405,0.9746,-1.6974,-1.4202,4.44
5,-0.3606,0.9872,-1.6974,-1.3508,3.773
6,-0.2974,0.9936,-1.6974,-1.2816,5.4846
7,-0.2404,0.981,-1.6974,-1.2124,4.869
8,-0.215,0.9682,-1.6974,-1.143,6.364
9,-0.215,0.962,-1.6974,-1.0738,5.3428
10,-0.253,0.962,-1.6974,-1.0044,4.3286
11,-0.3164,0.981,-1.6974,-0.9352,4.2164
12,-0.3796,1.0,-1.6974,-0.866,4.2438
13,-0.4176,1.0062,-1.6974,-0.7966,4.8714
14,-0.481,1.0188,-1.6974,-0.7274,5.131
15,-0.5568,1.0316,-1.6974,-0.658,5.5448
16,-0.6202,1.0316,-1.6974,-0.5888,5.2678
17,-0.6518,1.0316,-1.6974,-0.5196,3.4678
18,-0.6772,1.0442,-1.6974,-0.4502,4.7686
19,-0.7278,1.0316,-1.6974,-0.381,3.5594
20,-0.791,1.0188,-1.6974,-0.3116,4.7664
21,-0.8416,1.0316,-1.6974,-0.2424,6.0084
22,-0.8796,1.0632,-1.6974,-0.1732,5.7638
23,-0.8924,1.1012,-1.6974,-0.1038,3.8224
24,-0.8924,1.1392,-1.6974,-0.0346,4.7002
25,-0.867,1.1898,-1.6974,0.0346,4.2596
26,-0.848,1.234,-1.6974,0.1038,4.0152
27,-0.867,1.2658,-1.6974,0.1732,6.2072
28,-0.8796,1.291,-1.6974,0.2424,3.143
29,-0.8606,1.3036,-1.6974,0.3116,5.5812
30,-0.867,1.291,-1.6974,0.381,5.4228
31,-0.848,1.234,-1.6974,0.4502,4.132
32,-0.8354,1.1898,-1.6974,0.5196,4.4556
33,-0.8416,1.1518,-1.6974,0.5888,4.8688
34,-0.8606,1.1074,-1.6974,0.658,2.3846
35,-0.905,1.0568,-1.6974,0.7274,3.8254
36,-0.9366,1.0188,-1.6974,0.7966,3.1828
37,-0.9872,0.9746,-1.6974,0.866,3.661
38,-1.0252,0.943,-1.6974,0.9352,3.3346
39,-1.0568,0.9176,-1.6974,1.0044,3.4008
40,-1.1012,0.8924,-1.6974,1.0738,4.107
41,-1.1392,0.867,-1.6974,1.143,3.6902
42,-1.1834,0.867,-1.6974,1.2124,2.4452
43,-1.215,0.848,-1.6974,1.2816,1.6748
44,-1.2658,0.8416,-1.6974,1.3508,3.4744
45,-1.3354,0.8354,-1.6974,1.4202,4.6342
46,-1.3734,0.8036,-1.6974,1.4894,2.0896
47,-1.3986,0.7468,-1.6974,1.5588,3.6342
48,-1.3734,0.7088,-1.6974,1.628,2.375
49,-1.329,0.6834,-1.6974,1.6974,2.9066
50,-0.734,0.9112,-1.628,-1.6974,5.2388
51,-0.6708,0.9302,-1.628,-1.628,4.3854
52,-0.6012,0.943,-1.628,-1.5588,2.9888
53,-0.5506,0.9556,-1.628,-1.4894,4.1362
54,-0.462,0.9746,-1.628,-1.4202,4.1294
55,-0.3924,0.9936,-1.628,-1.3508,4.6024
56,-0.329,1.0,-1.628,-1.2816,3.9906
57,-0.2658,1.0,-1.628,-1.2124,4.5412
58,-0.2404,1.0062,-1.628,-1.143,4.2648
59,-0.2468,1.0,-1.628,-1.0738,2.7672
60,-0.2784,1.0126,-1.628,-1.0044,4.0736
61,-0.3416,1.0568,-1.628,-0.9352,4.1596
62,-0.386,1.0696,-1.628,-0.866,5.2994
63,-0.443,1.0948,-1.628,-0.7966,4.7378
64,-0.5126,1.0886,-1.628,-0.7274,5.1374
65,-0.5758,1.1012,-1.628,-0.658,6.8888
66,-0.6264,1.1012,-1.628,-0.5888,6.3566
67,-0.6644,1.1138,-1.628,-0.5196,4.3096
68,-0.6962,1.1138,-1.628,-0.4502,4.9924
69,-0.7468,1.1074,-1.628,-0.381,5.4204
70,-0.7848,1.0948,-1.628,-0.3116,6.0036
71,-0.8164,1.1074,-1.628,-0.2424,4.4314
72,-0.8354,1.1392,-1.628,-0.1732,5.2932
73,-0.829,1.1772,-1.628,-0.1038,4.4788
74,-0.81,1.2278,-1.628,-0.0346,4.7774
75,-0.753,1.272,-1.628,0.0346,4.796
76,-0.734,1.3226,-1.628,0.1038,6.6194
77,-0.7594,1.3416,-1.628,0.1732,5.9564
78,-0.7404,1.367,-1.628,0.2424,5.937
79,-0.734,1.3544,-1.628,0.3116,5.0126
80,-0.734,1.3164,-1.628,0.381,4.267
81,-0.7468,1.272,-1.628,0.4502,5.3596
82,-0.7468,1.234,-1.628,0.5196,3.807
83,-0.753,1.1898,-1.628,0.5888,2.8504
84,-0.7784,1.1454,-1.628,0.658,5.5318
85,-0.8416,1.1012,-1.628,0.7274,4.2898
86,-0.905,1.0506,-1.628,0.7966,4.3046
87,-0.9556,1.0,-1.628,0.866,3.3436
88,-1.0062,0.9746,-1.628,0.9352,3.4814
89,-1.0378,0.981,-1.628,1.0044,4.9208
90,-1.0886,0.9746,-1.628,1.0738,5.1284
91,-1.1264,0.981,-1.628,1.143,5.4376
92,-1.1644,0.9682,-1.628,1.2124,4.4106
93,-1.2278,0.9556,-1.628,1.2816,4.8592
94,-1.2848,0.9492,-1.628,1.3508,2.2706
95,-1.3416,0.9366,-1.628,1.4202,2.7816
96,-1.405,0.886,-1.628,1.4894,4.1598
97,-1.4366,0.848,-1.628,1.5588,2.205
98,-1.4366,0.81,-1.628,1.628,0.9902
99,-1.3986,0.8036,-1.628,1.6974,0.4686
100,-0.7658,0.8796,-1.5588,-1.6974,3.323
101,-0.715,0.905,-1.5588,-1.628,3.9918
102,-0.6518,0.9176,-1.5588,-1.5588,2.9714
103,-0.5886,0.9366,-1.5588,-1.4894,3.8374
104,-0.5062,0.962,-1.5588,-1.4202,4.7974
105,-0.4302,0.9872,-1.5588,-1.3508,5.4124
106,-0.3606,0.9936,-1.5588,-1.2816,5.396
107,-0.2974,0.9936,-1.5588,-1.2124,6.4342
108,-0.2594,1.0062,-1.5588,-1.143,5.1102
109,-0.2658,1.0126,-1.5588,-1.0738,4.5194
110,-0.291,1.0316,-1.5588,-1.0044,5.8524
111,-0.3416,1.0632,-1.5588,-0.9352,5.8714
112,-0.3924,1.1012,-1.5588,-0.866,4.2576
113,-0.443,1.1202,-1.5588,-0.7966,4.863
114,-0.4936,1.1392,-1.5588,-0.7274,4.1996
115,-0.5632,1.1518,-1.5588,-0.658,5.2176
116,-0.6264,1.1644,-1.5588,-0.5888,4.433
117,-0.6644,1.1834,-1.5588,-0.5196,5.5706
118,-0.6898,1.1834,-1.5588,-0.4502,3.055
119,-0.7024,1.1834,-1.5588,-0.381,4.4086
120,-0.7278,1.1962,-1.5588,-0.3116,4.6922
121,-0.7404,1.2024,-1.5588,-0.2424,3.6824
122,-0.7594,1.2088,-1.5588,-0.1732,3.9006
123,-0.7214,1.2404,-1.5588,-0.1038,5.2362
124,-0.6898,1.291,-1.5588,-0.0346,4.1386
125,-0.6392,1.3354,-1.5588,0.0346,6.3244
126,-0.6328,1.3734,-1.5588,0.1038,5.096
127,-0.6454,1.3924,-1.5588,0.1732,5.608
128,-0.6138,1.3924,-1.5588,0.2424,5.6586
129,-0.6074,1.3734,-1.5588,0.3116,5.4328
130,-0.6202,1.3354,-1.5588,0.381,5.1732
131,-0.6454,1.2974,-1.5588,0.4502,6.3278
132,-0.6582,1.2658,-1.5588,0.5196,3.9566
133,-0.6962,1.215,-1.5588,0.5888,5.5084
134,-0.7214,1.1708,-1.5588,0.658,5.2662
135,-0.7784,1.1328,-1.5588,0.7274,4.1716
136,-0.8416,1.1012,-1.5588,0.7966,3.7688
137,-0.8986,1.0696,-1.5588,0.866,3.7842
138,-0.9366,1.0696,-1.5588,0.9352,4.3768
139,-0.9682,1.0696,-1.5588,1.0044,2.4532
140,-1.0252,1.0822,-1.5588,1.0738,5.1518
141,-1.0948,1.0822,-1.5588,1.143,3.9272
142,-1.1454,1.0822,-1.5588,1.2124,4.848
143,-1.1962,1.0758,-1.5588,1.2816,2.593
144,-1.272,1.0506,-1.5588,1.3508,2.2234
145,-1.348,1.0252,-1.5588,1.4202,2.7224
146,-1.4112,0.9746,-1.5588,1.4894,2.7334
147,-1.4302,0.924,-1.5588,1.5588,1.946
148,-1.4492,0.9302,-1.5588,1.628,5.4678
149,-1.462,0.905,-1.5588,1.6974,2.7498
150,-0.8164,0.8354,-1.4894,-1.6974,5.3452
151,-0.7468,0.8544,-1.4894,-1.628,5.1176
152,-0.6834,0.886,-1.4894,-1.5588,5.2076
153,-0.6012,0.9112,-1.4894,-1.4894,3.709
154,-0.5252,0.9492,-1.4894,-1.4202,3.591
155,-0.443,0.9746,-1.4894,-1.3508,4.9218
156,-0.3606,0.981,-1.4894,-1.2816,4.58
157,-0.2974,0.9872,-1.4894,-1.2124,5.218
158,-0.2594,1.0,-1.4894,-1.143,6.7444
159,-0.253,1.0126,-1.4894,-1.0738,4.1456
160,-0.2784,1.0316,-1.4894,-1.0044,4.5254
161,-0.3164,1.0632,-1.4894,-0.9352,4.6994
