,x1,x2,coord1,coord2,y
0,-0.8006,-0.3994,-1.6974,-1.6974,1.544
1,0.422,-0.7696,-1.6974,-1.628,3.5594
2,-0.0848,-0.0958,-1.6974,-1.5588,3.328
3,-0.3332,1.0986,-1.6974,-1.4894,3.9176
4,1.1006,-1.2992,-1.6974,-1.4202,2.8864
5,1.2356,-1.1338,-1.6974,-1.3508,0.9838
6,1.3632,-0.5764,-1.6974,-1.2816,3.1384
7,0.9648,-0.9356,-1.6974,-1.2124,3.6874
8,0.4466,1.2146,-1.6974,-1.143,6.458
9,1.118,-0.033,-1.6974,-1.0738,3.9278
10,1.1874,-1.0062,-1.6974,-1.0044,3.3938
11,-0.9216,1.074,-1.6974,-0.9352,4.5898
12,-0.2538,1.4534,-1.6974,-0.866,6.153
13,-0.3394,-0.1612,-1.6974,-0.7966,3.3976
14,0.1152,0.905,-1.6974,-0.7274,3.7714
15,0.765,0.0768,-1.6974,-0.658,4.1516
16,1.1106,-0.4286,-1.6974,-0.5888,1.8244
17,0.3692,-1.4186,-1.6974,-0.5196,1.505
18,-0.0138,0.3872,-1.6974,-0.4502,2.9574
19,1.0706,0.2664,-1.6974,-0.381,4.8724
20,0.2406,-0.1776,-1.6974,-0.3116,2.6496
21,0.2252,-0.7702,-1.6974,-0.2424,0.9684
22,-0.6134,-1.288,-1.6974,-0.1732,-0.7972
23,1.0912,-0.7974,-1.6974,-0.1038,2.4706
24,0.1298,0.3792,-1.6974,-0.0346,3.2382
25,0.763,-0.5054,-1.6974,0.0346,1.147
26,0.0838,-0.7316,-1.6974,0.1038,1.948
27,0.1938,-0.8612,-1.6974,0.1732,1.328
28,-1.2594,-0.8132,-1.6974,0.2424,-0.4878
29,-1.341,-1.1334,-1.6974,0.3116,-2.589
30,1.381,0.892,-1.6974,0.381,4.5186
31,1.1938,0.3026,-1.6974,0.4502,4.4132
32,0.3142,0.6894,-1.6974,0.5196,4.0668
33,-1.3888,-1.1372,-1.6974,0.5888,2.1704
34,1.4092,-0.274,-1.6974,0.658,2.8812
35,-1.3074,-1.4646,-1.6974,0.7274,-0.318
36,0.9438,-0.0102,-1.6974,0.7966,4.5006
37,1.1218,-0.096,-1.6974,0.866,3.887
38,-0.8654,0.952,-1.6974,0.9352,5.6764
39,1.4178,0.1988,-1.6974,1.0044,5.0258
40,-0.4276,-0.9338,-1.6974,1.0738,1.0276
41,0.7982,-1.1346,-1.6974,1.143,2.5502
42,0.4314,-0.5032,-1.6974,1.2124,-0.1684
43,-0.456,-1.4486,-1.6974,1.2816,-0.3318
44,-0.9968,-0.8998,-1.6974,1.3508,0.4636
45,1.2732,-1.4378,-1.6974,1.4202,-0.7252
46,-0.2772,1.0496,-1.6974,1.4894,5.0588
47,-0.0982,-0.6132,-1.6974,1.5588,0.6774
48,-1.457,0.5688,-1.6974,1.628,1.2606
49,0.7848,1.3462,-1.6974,1.6974,5.9392
50,1.1566,0.2654,-1.628,-1.6974,5.2098
51,0.9126,-0.7746,-1.628,-1.628,2.5656
52,-0.2206,-1.0822,-1.628,-1.5588,1.0852
53,-0.7888,-0.2734,-1.628,-1.4894,1.5558
54,-1.3622,0.683,-1.628,-1.4202,2.936
55,-0.5712,0.2946,-1.628,-1.3508,2.3554
56,0.995,-0.2982,-1.628,-1.2816,3.8734
57,1.3222,-0.1126,-1.628,-1.2124,4.1152
58,1.1732,1.0066,-1.628,-1.143,6.3648
59,-0.4622,-0.863,-1.628,-1.0738,1.3784
60,-0.4868,-1.4494,-1.628,-1.0044,-1.281
61,1.3906,0.9492,-1.628,-0.9352,6.9728
62,-0.5308,-1.0082,-1.628,-0.866,1.9828
63,-1.4862,-0.8766,-1.628,-0.7966,-0.4734
64,-0.028,-0.1338,-1.628,-0.7274,0.8282
65,0.4866,0.0558,-1.628,-0.658,2.2148
66,0.2396,0.7438,-1.628,-0.5888,3.1958
67,1.3618,1.25,-1.628,-0.5196,8.128
68,0.5166,-1.4014,-1.628,-0.4502,0.06
69,-1.231,-1.0864,-1.628,-0.381,0.3514
70,0.871,0.9368,-1.628,-0.3116,7.8942
71,0.0238,0.495,-1.628,-0.2424,4.8158
72,-0.3988,-0.5982,-1.628,-0.1732,3.0038
73,1.457,1.0068,-1.628,-0.1038,7.559
74,0.3256,-0.287,-1.628,-0.0346,3.7788
75,-0.3996,0.1006,-1.628,0.0346,-1.3814
76,1.0876,-0.967,-1.628,0.1038,2.114
77,-1.152,0.8206,-1.628,0.1732,3.0788
78,-1.4114,1.0758,-1.628,0.2424,3.2726
79,1.2242,-0.6298,-1.628,0.3116,2.7606
80,0.4042,-0.9736,-1.628,0.381,0.5368
81,-0.924,-1.106,-1.628,0.4502,1.513
82,-0.9088,0.7156,-1.628,0.5196,3.0354
83,0.61,0.232,-1.628,0.5888,2.5086
84,-0.2676,-0.1924,-1.628,0.658,0.2656
85,0.4322,-0.2868,-1.628,0.7274,3.2638
86,-1.3412,-0.4586,-1.628,0.7966,3.3176
87,-0.2094,0.9828,-1.628,0.866,4.262
88,1.1392,0.318,-1.628,0.9352,6.3222
89,-0.5812,0.1286,-1.628,1.0044,2.4156
90,0.3584,0.8088,-1.628,1.0738,6.6814
91,1.1518,-0.2628,-1.628,1.143,4.1128
92,0.3788,-1.2652,-1.628,1.2124,0.22
93,0.8064,-0.1966,-1.628,1.2816,2.2136
94,-1.383,-0.9284,-1.628,1.3508,-0.1538
95,-1.472,-0.377,-1.628,1.4202,-1.2068
96,-1.4828,-1.1486,-1.628,1.4894,-2.2276
97,0.127,-1.449,-1.628,1.5588,-0.53
98,-0.2844,0.1682,-1.628,1.628,3.7412
99,0.7032,-0.565,-1.628,1.6974,4.7608
100,0.7444,-0.8234,-1.5588,-1.6974,2.5912
101,0.9532,0.7854,-1.5588,-1.628,5.9504
102,1.1618,-1.48,-1.5588,-1.5588,3.3896
103,0.437,-0.3102,-1.5588,-1.4894,2.9512
104,-1.32,1.1616,-1.5588,-1.4202,4.6342
105,0.9344,-0.244,-1.5588,-1.3508,6.1832
106,-0.3594,1.0354,-1.5588,-1.2816,4.208
107,0.9764,-0.6048,-1.5588,-1.2124,4.0166
108,1.4802,0.0324,-1.5588,-1.143,4.657
109,1.1924,-0.8366,-1.5588,-1.0738,2.4308
110,0.9514,-0.5862,-1.5588,-1.0044,2.557
111,-1.4066,-1.0832,-1.5588,-0.9352,-1.6112
112,-1.2196,-0.0158,-1.5588,-0.866,0.5146
113,-0.4004,-1.4132,-1.5588,-0.7966,0.2512
114,-1.2884,0.165,-1.5588,-0.7274,2.4158
115,-0.9388,1.1228,-1.5588,-0.658,5.5744
116,-0.0002,-0.8016,-1.5588,-0.5888,3.452
117,-0.6662,-1.4196,-1.5588,-0.5196,-1.6048
118,1.3792,1.0782,-1.5588,-0.4502,4.5224
119,1.189,-1.1774,-1.5588,-0.381,0.816
120,-0.7344,-1.2838,-1.5588,-0.3116,-1.0204
121,-0.8088,0.728,-1.5588,-0.2424,4.0908
122,1.451,-0.2376,-1.5588,-0.1732,5.5042
123,0.33,1.0356,-1.5588,-0.1038,4.5696
124,0.0784,-0.1422,-1.5588,-0.0346,1.8052
125,-0.2994,-1.1002,-1.5588,0.0346,0.522
126,0.969,-0.4492,-1.5588,0.1038,3.0866
127,-0.4168,-0.1422,-1.5588,0.1732,1.8246
128,0.5948,-0.37,-1.5588,0.2424,4.2718
129,-1.011,1.4472,-1.5588,0.3116,6.2336
130,0.1622,-0.4192,-1.5588,0.381,1.7948
131,0.0392,-0.8622,-1.5588,0.4502,1.3084
132,0.5818,0.2112,-1.5588,0.5196,2.5834
133,0.0172,1.3844,-1.5588,0.5888,5.1774
134,0.8514,-0.748,-1.5588,0.658,3.1246
135,1.0004,-1.0152,-1.5588,0.7274,1.8512
136,-0.6122,1.382,-1.5588,0.7966,4.0468
137,-0.538,-0.6404,-1.5588,0.866,3.1104
138,0.7178,0.8038,-1.5588,0.9352,4.5824
139,-0.3508,-0.0716,-1.5588,1.0044,2.628
140,1.0082,0.0104,-1.5588,1.0738,3.5378
141,0.1808,-1.4894,-1.5588,1.143,1.7292
142,0.381,0.7238,-1.5588,1.2124,5.2708
143,0.0544,-0.6882,-1.5588,1.2816,0.4678
144,0.9686,-0.4398,-1.5588,1.3508,3.7596
145,-0.0496,0.3446,-1.5588,1.4202,3.029
146,1.2888,-1.0794,-1.5588,1.4894,0.3966
